緒 绪
傾 倾
轡 辔
蠻 蛮
𩯳 𩯒
贐 赆
轎 轿
瀂 澛
瘂 痖
盡 尽
濱 滨
鴞 鸮
適 适
澀 涩
㞞 𪨊
駸 骎
朥 𦛨
釀 酿
閏 闰
詀 𧮪
濃 浓
煒 炜
攄 摅
貶 贬
鳴 鸣
鮺 鲝
厲 厉
纈 缬
鐮 镰
𪀦 𪉅
婭 娅
䪏 𩏼
脅 胁
驀 蓦
鯫 鲰
鰆 䲠
鯶 𩽼
詘 诎
剴 剀
鑰 钥
瑤 瑶
釧 钏
贈 赠
額 额
虧 亏
餔 𫗦
獪 狯
門 门
權 权
備 备
龑 䶮
違 违
賀 贺
賢 贤
纇 颣
著 着
舉 举
藶 苈
煩 烦
縹 缥
償 偿
鱣 鳣
鯒 鲬
爍 烁
鸌 鹱
楨 桢
獷 犷
鎦 镏
䭃 𩠈
瑒 玚
䮫 𩨇
肅 肃
鑠 铄
尷 尴
贗 赝
㷿 𤈷
滄 沧
龍 龙
劍 剑
酈 郦
減 减
諷 讽
駿 骏
姍 姗
遲 迟
頦 颏
髏 髅
鬆 松
嶸 嵘
廂 厢
賦 赋
廢 废
盤 盘
䪗 𩐀
貺 贶
馹 驲
緓 绬
縫 缝
閿 阌
壙 圹
繆 缪
槤 梿
䮝 𩧰
鱖 鳜
綯 绹
䴴 𪎋
顰 颦
軺 轺
鏹 镪
墊 垫
齦 龈
鱉 鳖
檜 桧
謔 谑
佇 伫
愾 忾
擷 撷
讓 让
訊 讯
𨫒 𨱐
餶 馉
躊 踌
織 织
槳 桨
兗 兖
驦 骦
車 车
匯 汇
貽 贻
𩚵 𩠁
濧 㳔
𨈊 𨂺
闔 阖
詼 诙
鬩 阋
顎 颚
繫 系
懨 恹
酇 酂
確 确
鴉 鸦
嘆 叹
閽 阍
滲 渗
鷦 鹪
決 决
兒 儿
揮 挥
銦 铟
搶 抢
縱 纵
輸 输
夠 够
獱 㺍
駱 骆
襀 𫌀
𨶀 𨸉
鏡 镜
淵 渊
媰 㛀
罈 坛
紕 纰
駕 驾
養 养
鯷 鳀
綞 缍
蟬 蝉
櫻 樱
鶉 鹑
鬧 闹
繩 绳
楊 杨
熉 𤈶
類 类
侖 仑
槼 椝
參 参
䱷 䲣
絲 丝
槨 椁
塵 尘
剄 刭
褸 褛
嘍 喽
楓 枫
簍 篓
稟 禀
嘮 唠
輓 挽
壯 壮
納 纳
選 选
鷚 鹨
頮 颒
鐠 镨
摶 抟
鳳 凤
鎇 镅
荊 荆
䉬 𫂈
窩 窝
緱 缑
弒 弑
蕘 荛
恥 耻
蕩 荡
鮋 鲉
駒 驹
萬 万
邁 迈
歲 岁
眾 众
鉶 铏
𩭙 𩬣
鍛 锻
緍 𦈏
紉 纫
產 产
靂 雳
媧 娲
質 质
鎂 镁
巋 岿
釁 衅
燶 㶶
轣 𫐆
鄰 邻
䗿 𧉞
軾 轼
鰭 鳍
銅 铜
綴 缀
請 请
陰 阴
濫 滥
痾 疴
飯 饭
餸 𩠌
編 编
呂 吕
𥖅 𥐯
闆 板
維 维
鱔 鳝
輊 轾
絝 绔
鐸 铎
鸕 鸬
檳 槟
窶 窭
釤 钐
軸 轴
衚 胡
颳 刮
葒 荭
啟 启
燼 烬
餗 𫗧
鉋 铇
溝 沟
結 结
𣝕 𣘷
𪃏 𪉏
連 连
劌 刿
燭 烛
濁 浊
賟 𧹖
鴃 𫛞
讞 谳
駐 驻
癆 痨
億 亿
禮 礼
錡 锜
斂 敛
設 设
傴 伛
錆 锖
滻 浐
監 监
謗 谤
歐 欧
鴆 鸩
雞 鸡
瑣 琐
僞 伪
徑 径
擔 担
債 债
鈧 钪
𠞆 𠛆
鱝 鲼
頁 页
鎰 镒
鱅 鳙
蓴 莼
溈 沩
輮 𫐓
環 环
溫 温
讖 谶
鵓 鹁
業 业
鬮 阄
聶 聂
觀 观
紝 纴
蠟 蜡
闠 阓
鱟 鲎
諺 谚
輬 辌
鍰 锾
崢 峥
喲 哟
堊 垩
鋮 铖
礆 硷
曥 𣆐
噴 喷
緄 绲
謊 谎
鋒 锋
棗 枣
貧 贫
攛 撺
戲 戏
條 条
嘓 啯
喚 唤
攪 搅
囅 冁
誼 谊
㑳 㑇
釐 厘
䝼 䞍
聽 听
皚 皑
鎄 锿
會 会
羈 羁
懍 懔
熡 𤋏
瀏 浏
𥢢 䅪
灕 漓
剋 克
鯔 鲻
紼 绋
癧 疬
㠏 㟆
詐 诈
𨄣 𨀱
葦 苇
讀 读
娛 娱
襝 裣
鰱 鲢
脛 胫
鮶 鲪
銩 铥
鰳 鳓
脹 胀
餜 馃
樹 树
𡾱 㟜
郟 郏
鐏 𨱔
鱧 鳢
筧 笕
鷖 鹥
躂 跶
飥 饦
應 应
縵 缦
壺 壶
嬸 婶
鉑 铂
銑 铣
嘗 尝
劏 㓥
緹 缇
癰 痈
鰃 鳂
蕁 荨
爐 炉
瓊 琼
鰧 䲢
戔 戋
墮 堕
諮 谘
鳷 𫛛
櫫 橥
蘊 蕴
攤 摊
頓 顿
縟 缛
驏 骣
鉈 铊
銓 铨
鍍 镀
務 务
騅 骓
劃 划
𧝞 䘛
墳 坟
銚 铫
轤 轳
螿 螀
釳 𨰿
鈿 钿
濆 𣸣
純 纯
幫 帮
盪 荡
魘 魇
躒 跞
轟 轰
鉤 钩
髕 髌
鑼 锣
顢 颟
